family,arm,variant,seed,panel,stratum,pairs,positive,negative,prevalence,random_ap,auroc,ap,brier,precision,recall,false_positive_rate,threshold,mean_probability,top1pct_n,top1pct_precision,top1pct_enrichment,top5pct_n,top5pct_precision,top5pct_enrichment,top10pct_n,top10pct_precision,top10pct_enrichment
DTIAM,all_inactive,native,20260921,EXPLICIT_INACTIVE,A_positive_neighbor_lt_0.3,9556,0,9556,0.0,,,,0.19011746618999964,0.0,,0.2732314776056928,0.4986560235573662,0.3561643590511069,96,0.0,,478,0.0,,956,0.0,
DTIAM,all_inactive,native,20260921,EXPLICIT_INACTIVE,A_positive_neighbor_ge_0.3,1093,0,1093,0.0,,,,0.3776006717975047,0.0,,0.6047575480329369,0.4986560235573662,0.5546671511295792,11,0.0,,55,0.0,,110,0.0,
DTIAM,all_inactive,query,20260921,AFFINITY_KD_KI,all,34327,23190,11137,0.6755615113467532,0.6755615113467532,0.9188218759475415,0.9592627109453762,0.1070172619474552,0.8663475699558174,0.9131953428201811,0.2933465026488282,0.5048198190888741,0.6865616755528171,344,1.0,1.4802501078050885,1717,0.9994175888177053,1.4793879935897098,3433,0.9973783862510923,1.4763694637706446
DTIAM,all_inactive,query,20260921,AFFINITY_KD_KI,no_A_training_positive_reference,1973,854,1119,0.4328433857070451,0.4328433857070451,0.7860627483973857,0.672189956333514,0.2025500791302259,0.6837782340862423,0.38992974238875877,0.13762287756925826,0.5048198190888741,0.32166051657415584,20,0.75,1.7327283372365339,99,0.7272727272727273,1.680221417926336,198,0.696969696969697,1.6102121921794055
DTIAM,all_inactive,query,20260921,AFFINITY_KD_KI,A_positive_neighbor_lt_0.3,9859,1909,7950,0.19363018561720255,0.19363018561720255,0.7098307586375032,0.33050493480591736,0.19636602473101358,0.32373113854595337,0.49449973808276587,0.24805031446540882,0.5048198190888741,0.3550836652422665,99,0.48484848484848486,2.5039922535993777,493,0.40365111561866124,2.084649737498366,986,0.35294117647058826,1.8227590669583706
DTIAM,all_inactive,query,20260921,AFFINITY_KD_KI,A_positive_neighbor_ge_0.3,24468,21281,3187,0.869748242602583,0.869748242602583,0.9131200867463736,0.9844919885752261,0.07101556780477487,0.9398457822370866,0.9507541938818664,0.4063382491371195,0.5048198190888741,0.8201255836634808,245,1.0,1.1497580000939804,1224,1.0,1.1497580000939804,2447,0.9991826726604005,1.1488182714465804
DTIAM,all_inactive,query,20260921,EXPLICIT_INACTIVE,all,10649,0,10649,0.0,,,,0.21823463425825018,0.0,,0.3182458446802517,0.5048198190888741,0.3871974196354797,107,0.0,,533,0.0,,1065,0.0,
DTIAM,all_inactive,query,20260921,EXPLICIT_INACTIVE,no_A_training_positive_reference,817,0,817,0.0,,,,0.05506463135668476,0.0,,0.06119951040391677,0.5048198190888741,0.16416080547497647,9,0.0,,41,0.0,,82,0.0,
DTIAM,all_inactive,query,20260921,EXPLICIT_INACTIVE,A_positive_neighbor_lt_0.3,9556,0,9556,0.0,,,,0.19913477794462717,0.0,,0.28589367936375054,0.5048198190888741,0.3673929744305885,96,0.0,,478,0.0,,956,0.0,
DTIAM,all_inactive,query,20260921,EXPLICIT_INACTIVE,A_positive_neighbor_ge_0.3,1093,0,1093,0.0,,,,0.3852229480121216,0.0,,0.6010978956999085,0.5048198190888741,0.5603458902465865,11,0.0,,55,0.0,,110,0.0,
DTIAM,all_inactive,native,20260922,AFFINITY_KD_KI,all,34327,23190,11137,0.6755615113467532,0.6755615113467532,0.9162592491964615,0.9576941939189996,0.1087550117008638,0.8707965335655347,0.9056058645968089,0.2797880937415821,0.5305942077679551,0.6886671406325664,344,1.0,1.4802501078050885,1717,1.0,1.4802501078050885,3433,0.997087095834547,1.475938281100151
DTIAM,all_inactive,native,20260922,AFFINITY_KD_KI,no_A_training_positive_reference,1973,854,1119,0.4328433857070451,0.4328433857070451,0.7628162063401372,0.6589218074858221,0.21735192774107384,0.6850828729281768,0.2903981264637002,0.10187667560321716,0.5305942077679551,0.30296892181162705,20,0.8,1.8482435597189697,99,0.7575757575757576,1.7502306436732666,198,0.7121212121212122,1.6452168050528706
DTIAM,all_inactive,native,20260922,AFFINITY_KD_KI,A_positive_neighbor_lt_0.3,9859,1909,7950,0.19363018561720255,0.19363018561720255,0.690056995825797,0.31823302857595115,0.20367743816303688,0.3017465626161278,0.4253535882661079,0.23635220125786163,0.5305942077679551,0.3536770979568313,99,0.48484848484848486,2.5039922535993777,493,0.40365111561866124,2.084649737498366,986,0.3438133874239351,1.7756187462611712
DTIAM,all_inactive,native,20260922,AFFINITY_KD_KI,A_positive_neighbor_ge_0.3,24468,21281,3187,0.869748242602583,0.869748242602583,0.9115599123695546,0.9840150680504877,0.0705074964772834,0.9422664053019696,0.9486866218692731,0.3881393159711327,0.5305942077679551,0.8236461675550804,245,1.0,1.1497580000939804,1224,1.0,1.1497580000939804,2447,0.9995913363302003,1.1492881357702804
