model,drug_id,target_id,status,score,reason
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL3778,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL4093,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL1255163,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL1947,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL2055,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL2061,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL2252,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL2637,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL1812,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL3820,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL3991,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL4588,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL4899,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL239,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL332,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL4393,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL280,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL1847,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL3094,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL4630,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL283,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL1899,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL3922,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL3776,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL4816,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL1843,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL4282,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL5216,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL2431,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL3106,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL325,failed,,inference_missing_after_target_stage_exit_0
