endpoint_group,slice,model,score_column,n_pairs,positive,weak_negative,drugs,targets,positive_prevalence,auroc,average_precision,ap_over_prevalence,within_drug_macro_auroc,within_drug_both_class_queries,top10_observed_positive,top10_observed_weak_negative,top10_observed_precision,top10_recall_of_observed_positives,top20_observed_positive,top20_observed_weak_negative,top20_observed_precision,top20_recall_of_observed_positives,top50_observed_positive,top50_observed_weak_negative,top50_observed_precision,top50_recall_of_observed_positives
Kd_only,REFRESH_ABSENT_CHEMBL37,SPR_current,independent_validation_rank_score,285,64,221,21,86,0.22456140350877193,0.7367081447963801,0.4863909335922591,2.165959626153029,0.6909022898776997,8,8,3,0.7272727272727273,0.125,15,7,0.6818181818181818,0.234375,31,32,0.49206349206349204,0.484375
Kd_only,REFRESH_ABSENT_CHEMBL37,contract_primary,biomaster_independent_borda_score,285,64,221,21,86,0.22456140350877193,0.7418339932126696,0.5258508418007009,2.341679529893746,0.6526029469164716,8,12,3,0.8,0.1875,19,8,0.7037037037037037,0.296875,34,34,0.5,0.53125
Kd_only,REFRESH_ABSENT_CHEMBL37,neural_full_fit,ensemble_drug_to_target_logit,285,64,221,21,86,0.22456140350877193,0.8291148190045249,0.6066337030238347,2.701415708778014,0.7439166991933386,8,13,3,0.8125,0.203125,26,8,0.7647058823529411,0.40625,47,42,0.5280898876404494,0.734375
Kd_only,REFRESH_ABSENT_CHEMBL37,graph_ranker,old_drug_leakage_safe_score_v10,285,64,221,21,86,0.22456140350877193,0.6570984162895928,0.40070628344198245,1.784395168452578,0.6435930588082227,8,9,9,0.5,0.140625,15,15,0.5,0.234375,25,34,0.423728813559322,0.390625
Kd_only,REFRESH_ABSENT_CHEMBL37,DTIAM_comparator,dtiam_probability,285,64,221,21,86,0.22456140350877193,0.643947963800905,0.3530469387901882,1.5721621493000568,0.6079438264376789,8,9,5,0.6428571428571429,0.140625,13,11,0.5416666666666666,0.203125,26,30,0.4642857142857143,0.40625
Kd_only,REFRESH_NO_LOCAL_TRAIN_PAIR,SPR_current,independent_validation_rank_score,415,108,307,40,88,0.26024096385542167,0.7565146579804561,0.6057289587805929,2.32756961012913,0.7895251374806033,13,35,5,0.875,0.32407407407407407,42,16,0.7241379310344828,0.3888888888888889,62,64,0.49206349206349204,0.5740740740740741
Kd_only,REFRESH_NO_LOCAL_TRAIN_PAIR,contract_primary,biomaster_independent_borda_score,415,108,307,40,88,0.26024096385542167,0.7275907829653757,0.5309647390606382,2.0402811732422674,0.754980295795073,13,36,13,0.7346938775510204,0.3333333333333333,44,30,0.5945945945945946,0.4074074074074074,63,73,0.4632352941176471,0.5833333333333334
Kd_only,REFRESH_NO_LOCAL_TRAIN_PAIR,neural_full_fit,ensemble_drug_to_target_logit,415,108,307,40,88,0.26024096385542167,0.8479611533357462,0.6802393194932769,2.613882570275092,0.8291410950722692,13,37,11,0.7708333333333334,0.3425925925925926,56,25,0.691358024691358,0.5185185185185185,83,76,0.5220125786163522,0.7685185185185185
Kd_only,REFRESH_NO_LOCAL_TRAIN_PAIR,graph_ranker,old_drug_leakage_safe_score_v10,415,108,307,40,88,0.26024096385542167,0.6912775968150561,0.484283312903626,1.860903470879674,0.7362607320704486,13,23,22,0.5111111111111111,0.21296296296296297,32,38,0.45714285714285713,0.2962962962962963,49,66,0.4260869565217391,0.4537037037037037
Kd_only,REFRESH_NO_LOCAL_TRAIN_PAIR,DTIAM_comparator,dtiam_probability,415,108,307,40,88,0.26024096385542167,0.6321631077331404,0.40826404414369644,1.5687923918484632,0.7329350496556974,13,22,12,0.6470588235294118,0.2037037037037037,29,23,0.5576923076923077,0.26851851851851855,49,51,0.49,0.4537037037037037
Kd_only,REFRESH_NO_PRIOR_RELATION,SPR_current,independent_validation_rank_score,61,1,60,14,10,0.01639344262295082,0.6166666666666667,0.041666666666666664,2.5416666666666665,,0,0,0,,0.0,1,0,1.0,1.0,1,4,0.2,1.0
Kd_only,REFRESH_NO_PRIOR_RELATION,contract_primary,biomaster_independent_borda_score,61,1,60,14,10,0.01639344262295082,0.6333333333333333,0.043478260869565216,2.652173913043478,,0,0,0,,0.0,0,0,,0.0,0,8,0.0,0.0
