target_id,nominator,receiver,mean_receiver_rank,receiver_top100_fraction,receiver_bottom_half_fraction
CHEMBL1902,biomaster,conplex,413.15,0.0,0.6
CHEMBL1902,biomaster,nesso,280.4,0.3,0.3
CHEMBL1902,biomaster,probematch,309.3,0.2,0.4
CHEMBL1902,biomaster,dtbind,337.0,0.2,0.5
CHEMBL1902,drugclip,biomaster,336.0,0.3,0.5
CHEMBL1902,drugclip,dtiam,218.7,0.4,0.2
CHEMBL1902,drugclip,conplex,413.45,0.1,0.6
CHEMBL1902,drugclip,nesso,272.5,0.2,0.4
CHEMBL1902,drugclip,probematch,329.65,0.3,0.4
CHEMBL1902,drugclip,dtbind,269.6,0.2,0.3
CHEMBL1902,dtiam,biomaster,381.7,0.3,0.6
CHEMBL1902,dtiam,drugclip,279.6,0.3,0.3
CHEMBL1902,dtiam,conplex,412.45,0.1,0.7
CHEMBL1902,dtiam,nesso,594.3,0.1,0.9
CHEMBL1902,dtiam,probematch,243.6,0.3,0.2
CHEMBL1902,dtiam,dtbind,313.1,0.0,0.5
CHEMBL1902,conplex,biomaster,317.1,0.2,0.4
CHEMBL1902,conplex,drugclip,361.9,0.2,0.5
CHEMBL1902,conplex,dtiam,442.7,0.1,0.8
CHEMBL1902,conplex,nesso,312.6,0.1,0.4
CHEMBL1902,conplex,probematch,489.8,0.0,0.7
CHEMBL1902,conplex,dtbind,267.6,0.0,0.3
CHEMBL1902,nesso,biomaster,315.3,0.3,0.5
CHEMBL1902,nesso,drugclip,215.9,0.2,0.1
CHEMBL1902,nesso,dtiam,325.3,0.2,0.4
CHEMBL1902,nesso,conplex,222.3,0.4,0.3
CHEMBL1902,nesso,probematch,489.25,0.1,0.7
CHEMBL1902,nesso,dtbind,351.0,0.3,0.6
CHEMBL1902,probematch,biomaster,246.9,0.5,0.3
CHEMBL1902,probematch,drugclip,235.6,0.4,0.4
CHEMBL1902,probematch,dtiam,294.25,0.3,0.4
CHEMBL1902,probematch,conplex,389.55,0.1,0.6
CHEMBL1902,probematch,nesso,389.0,0.1,0.5
CHEMBL1902,probematch,dtbind,315.75,0.0,0.5
CHEMBL1902,dtbind,biomaster,337.4,0.2,0.5
CHEMBL1902,dtbind,drugclip,270.9,0.3,0.4
CHEMBL1902,dtbind,dtiam,384.75,0.2,0.5
CHEMBL1902,dtbind,conplex,337.85,0.2,0.5
CHEMBL1902,dtbind,nesso,226.3,0.1,0.0
CHEMBL1902,dtbind,probematch,416.5,0.1,0.5
CHEMBL1930,biomaster,drugclip,348.4,0.1,0.5
CHEMBL1930,biomaster,dtiam,199.3,0.3,0.1
CHEMBL1930,biomaster,conplex,382.5,0.0,0.5
CHEMBL1930,biomaster,nesso,335.3,0.1,0.4
CHEMBL1930,biomaster,probematch,408.1,0.0,0.6
CHEMBL1930,biomaster,dtbind,365.8,0.1,0.4
CHEMBL1930,drugclip,biomaster,165.2,0.4,0.1
CHEMBL1930,drugclip,dtiam,378.4,0.0,0.7
CHEMBL1930,drugclip,conplex,213.7,0.3,0.2
CHEMBL1930,drugclip,nesso,176.5,0.6,0.2
CHEMBL1930,drugclip,probematch,243.2,0.1,0.3
CHEMBL1930,drugclip,dtbind,309.0,0.2,0.5
CHEMBL1930,dtiam,biomaster,438.7,0.0,0.5
CHEMBL1930,dtiam,drugclip,477.3,0.1,0.8
CHEMBL1930,dtiam,conplex,463.75,0.0,0.7
CHEMBL1930,dtiam,nesso,444.0,0.2,0.7
CHEMBL1930,dtiam,probematch,475.9,0.1,0.9
CHEMBL1930,dtiam,dtbind,323.7,0.1,0.5
CHEMBL1930,conplex,biomaster,304.4,0.3,0.4
CHEMBL1930,conplex,drugclip,263.9,0.2,0.4
CHEMBL1930,conplex,dtiam,348.6,0.0,0.4
CHEMBL1930,conplex,nesso,333.3,0.2,0.5
CHEMBL1930,conplex,probematch,397.2,0.0,0.6
CHEMBL1930,conplex,dtbind,550.2,0.0,1.0
CHEMBL1930,nesso,biomaster,374.7,0.1,0.5
CHEMBL1930,nesso,drugclip,313.5,0.1,0.5
CHEMBL1930,nesso,dtiam,226.7,0.2,0.2
CHEMBL1930,nesso,conplex,369.1,0.2,0.7
CHEMBL1930,nesso,probematch,474.0,0.0,0.6
CHEMBL1930,nesso,dtbind,303.8,0.0,0.3
CHEMBL1930,probematch,biomaster,375.0,0.1,0.5
CHEMBL1930,probematch,drugclip,335.9,0.1,0.4
CHEMBL1930,probematch,dtiam,469.5,0.1,0.7
CHEMBL1930,probematch,conplex,485.3,0.0,0.8
CHEMBL1930,probematch,nesso,403.9,0.1,0.5
CHEMBL1930,probematch,dtbind,253.2,0.3,0.2
CHEMBL1930,dtbind,biomaster,269.8,0.4,0.4
CHEMBL1930,dtbind,drugclip,251.2,0.3,0.3
CHEMBL1930,dtbind,dtiam,462.2,0.1,0.7
CHEMBL1930,dtbind,conplex,291.5,0.0,0.4
CHEMBL1930,dtbind,nesso,244.1,0.1,0.2
CHEMBL1930,dtbind,probematch,317.7,0.2,0.3
CHEMBL1952,biomaster,drugclip,203.1,0.4,0.1
CHEMBL1952,biomaster,dtiam,365.0,0.2,0.6
CHEMBL1952,biomaster,conplex,291.5,0.4,0.5
CHEMBL1952,biomaster,nesso,269.9,0.3,0.3
CHEMBL1952,biomaster,probematch,392.9,0.0,0.6
CHEMBL1952,biomaster,dtbind,240.2,0.3,0.2
CHEMBL1952,drugclip,biomaster,227.6,0.3,0.2
CHEMBL1952,drugclip,dtiam,396.0,0.1,0.6
CHEMBL1952,drugclip,conplex,482.5,0.0,0.8
CHEMBL1952,drugclip,nesso,242.8,0.5,0.3
CHEMBL1952,drugclip,probematch,286.8,0.1,0.3
CHEMBL1952,drugclip,dtbind,177.2,0.2,0.0
CHEMBL1952,dtiam,biomaster,282.9,0.2,0.5
CHEMBL1952,dtiam,drugclip,516.1,0.0,0.7
CHEMBL1952,dtiam,conplex,337.5,0.0,0.4
CHEMBL1952,dtiam,nesso,611.3,0.0,1.0
CHEMBL1952,dtiam,probematch,287.8,0.1,0.6
CHEMBL1952,dtiam,dtbind,199.1,0.4,0.2
CHEMBL1952,conplex,biomaster,402.2,0.0,0.6
CHEMBL1952,conplex,drugclip,423.9,0.1,0.7
CHEMBL1952,conplex,dtiam,327.45,0.2,0.3
CHEMBL1952,conplex,nesso,389.2,0.2,0.6
CHEMBL1952,conplex,probematch,402.95,0.1,0.65
CHEMBL1952,conplex,dtbind,477.05,0.0,0.65
CHEMBL1952,nesso,biomaster,240.9,0.3,0.2
CHEMBL1952,nesso,drugclip,165.8,0.4,0.1
CHEMBL1952,nesso,dtiam,389.5,0.2,0.6
CHEMBL1952,nesso,conplex,353.45,0.2,0.5
CHEMBL1952,nesso,probematch,378.1,0.3,0.6
CHEMBL1952,nesso,dtbind,321.0,0.2,0.3
CHEMBL1952,probematch,biomaster,387.3,0.0,0.6
CHEMBL1952,probematch,drugclip,493.8,0.1,0.7
CHEMBL1952,probematch,dtiam,358.3,0.1,0.4
CHEMBL1952,probematch,conplex,379.45,0.1,0.6
CHEMBL1952,probematch,nesso,316.3,0.0,0.3
CHEMBL1952,probematch,dtbind,190.6,0.4,0.3
CHEMBL1952,dtbind,biomaster,260.1,0.3,0.2
CHEMBL1952,dtbind,drugclip,192.8,0.3,0.2
CHEMBL1952,dtbind,dtiam,471.9,0.1,0.8
CHEMBL1952,dtbind,conplex,390.8,0.0,0.4
CHEMBL1952,dtbind,nesso,225.8,0.4,0.2
CHEMBL1952,dtbind,probematch,281.2,0.2,0.4
CHEMBL1977,biomaster,drugclip,91.9,0.3,0.0
CHEMBL1977,biomaster,dtiam,166.15,0.4,0.1
CHEMBL1977,biomaster,conplex,38.15,0.9,0.0
CHEMBL1977,biomaster,nesso,45.3,0.9,0.1
CHEMBL1977,biomaster,probematch,97.5,0.6,0.0
CHEMBL1977,biomaster,dtbind,114.85,0.7,0.1
CHEMBL1977,drugclip,biomaster,223.3,0.5,0.3
CHEMBL1977,drugclip,dtiam,216.8,0.1,0.2
CHEMBL1977,drugclip,conplex,252.35,0.3,0.2918918918918919
CHEMBL1977,drugclip,nesso,168.6,0.4,0.2
CHEMBL1977,drugclip,probematch,284.25,0.3,0.4
CHEMBL1977,drugclip,dtbind,348.7,0.2,0.7
CHEMBL1977,dtiam,biomaster,255.6,0.2,0.3
CHEMBL1977,dtiam,drugclip,236.3,0.2,0.3
CHEMBL1977,dtiam,conplex,388.75,0.2,0.681081081081081
CHEMBL1977,dtiam,nesso,379.5,0.3,0.6
CHEMBL1977,dtiam,probematch,292.15,0.2,0.4
CHEMBL1977,dtiam,dtbind,347.9,0.1,0.6
CHEMBL1977,conplex,biomaster,15.65,1.0,0.0
CHEMBL1977,conplex,drugclip,163.9,0.2,0.1
CHEMBL1977,conplex,dtiam,128.15,0.4,0.0
CHEMBL1977,conplex,nesso,47.0,0.8,0.0
CHEMBL1977,conplex,probematch,184.275,0.4,0.1
CHEMBL1977,conplex,dtbind,108.05,0.8,0.1
CHEMBL1977,nesso,biomaster,94.4,0.8,0.2
CHEMBL1977,nesso,drugclip,91.7,0.4,0.0
CHEMBL1977,nesso,dtiam,139.25,0.4,0.0
CHEMBL1977,nesso,conplex,80.6,0.8,0.0972972972972973
CHEMBL1977,nesso,probematch,160.75,0.4,0.1
CHEMBL1977,nesso,dtbind,103.55,0.7,0.0
CHEMBL1977,probematch,biomaster,477.0,0.1,0.8
CHEMBL1977,probematch,drugclip,280.6,0.0,0.2
CHEMBL1977,probematch,dtiam,410.45,0.3,0.7
CHEMBL1977,probematch,conplex,204.7,0.3,0.0972972972972973
CHEMBL1977,probematch,nesso,246.0,0.2,0.2
CHEMBL1977,probematch,dtbind,151.85,0.5,0.1
CHEMBL1977,dtbind,biomaster,226.0,0.4,0.4
CHEMBL1977,dtbind,drugclip,207.7,0.4,0.3
CHEMBL1977,dtbind,dtiam,365.3,0.2,0.4
CHEMBL1977,dtbind,conplex,220.1,0.4,0.1945945945945946
CHEMBL1977,dtbind,nesso,260.0,0.3,0.4
CHEMBL1977,dtbind,probematch,337.0,0.2,0.5
CHEMBL1997,biomaster,drugclip,392.8,0.0,0.6
CHEMBL1997,biomaster,dtiam,312.0,0.1,0.3
CHEMBL1997,biomaster,conplex,314.2,0.3,0.5
CHEMBL1997,biomaster,nesso,214.8,0.3,0.3
CHEMBL1997,biomaster,probematch,345.2,0.1,0.4
CHEMBL1997,biomaster,dtbind,380.7,0.1,0.6
CHEMBL1997,drugclip,biomaster,331.7,0.4,0.5
CHEMBL1997,drugclip,dtiam,166.3,0.5,0.1
CHEMBL1997,drugclip,conplex,398.2,0.2,0.5
CHEMBL1997,drugclip,nesso,440.7,0.2,0.7
CHEMBL1997,drugclip,probematch,135.2,0.5,0.0
CHEMBL1997,drugclip,dtbind,390.7,0.0,0.5
CHEMBL1997,dtiam,biomaster,432.9,0.1,0.6
CHEMBL1997,dtiam,drugclip,267.3,0.5,0.4
CHEMBL1997,dtiam,conplex,520.25,0.1,0.8
CHEMBL1997,dtiam,nesso,537.0,0.1,0.8
CHEMBL1997,dtiam,probematch,84.9,0.8,0.0
CHEMBL1997,dtiam,dtbind,330.7,0.1,0.4
CHEMBL1997,conplex,biomaster,423.8,0.0,0.7
CHEMBL1997,conplex,drugclip,282.0,0.1,0.1
CHEMBL1997,conplex,dtiam,337.3,0.0,0.4
CHEMBL1997,conplex,nesso,233.1,0.4,0.3
CHEMBL1997,conplex,probematch,552.1,0.0,0.7
CHEMBL1997,conplex,dtbind,379.5,0.0,0.6
CHEMBL1997,nesso,biomaster,215.4,0.4,0.3
CHEMBL1997,nesso,drugclip,343.3,0.1,0.6
CHEMBL1997,nesso,dtiam,287.5,0.2,0.6
CHEMBL1997,nesso,conplex,417.85,0.0,0.7
CHEMBL1997,nesso,probematch,327.5,0.2,0.6
CHEMBL1997,nesso,dtbind,165.2,0.6,0.1
CHEMBL1997,probematch,biomaster,331.4,0.4,0.5
CHEMBL1997,probematch,drugclip,190.6,0.6,0.3
CHEMBL1997,probematch,dtiam,260.9,0.6,0.4
CHEMBL1997,probematch,conplex,540.55,0.0,0.9
CHEMBL1997,probematch,nesso,513.3,0.1,0.8
CHEMBL1997,probematch,dtbind,375.2,0.1,0.5
CHEMBL1997,dtbind,biomaster,361.1,0.1,0.6
CHEMBL1997,dtbind,drugclip,502.9,0.1,0.8
CHEMBL1997,dtbind,dtiam,281.6,0.2,0.4
CHEMBL1997,dtbind,conplex,392.05,0.1,0.5
CHEMBL1997,dtbind,nesso,289.8,0.1,0.4
CHEMBL1997,dtbind,probematch,245.6,0.2,0.2
CHEMBL2007625,biomaster,drugclip,274.2,0.3,0.4
CHEMBL2007625,biomaster,dtiam,442.5,0.0,0.6
CHEMBL2007625,biomaster,conplex,426.75,0.0,0.6395939086294415
CHEMBL2007625,biomaster,nesso,309.0,0.2,0.4
CHEMBL2007625,biomaster,probematch,317.4,0.0,0.4
CHEMBL2007625,biomaster,dtbind,223.3,0.1,0.1
CHEMBL2007625,drugclip,biomaster,239.5,0.3,0.2
CHEMBL2007625,drugclip,dtiam,248.2,0.2,0.3
CHEMBL2007625,drugclip,conplex,355.2,0.3,0.5482233502538071
CHEMBL2007625,drugclip,nesso,192.9,0.3,0.2
CHEMBL2007625,drugclip,probematch,287.8,0.2,0.3
CHEMBL2007625,drugclip,dtbind,417.6,0.0,0.7
CHEMBL2007625,dtiam,biomaster,299.5,0.3,0.3
CHEMBL2007625,dtiam,drugclip,332.0,0.1,0.5
CHEMBL2007625,dtiam,conplex,404.45,0.2,0.6395939086294415
CHEMBL2007625,dtiam,nesso,260.4,0.2,0.2
CHEMBL2007625,dtiam,probematch,205.6,0.2,0.0
CHEMBL2007625,dtiam,dtbind,298.2,0.0,0.4
CHEMBL2007625,conplex,biomaster,265.5,0.2,0.3
CHEMBL2007625,conplex,drugclip,252.0,0.3,0.2
CHEMBL2007625,conplex,dtiam,235.0,0.2,0.1
CHEMBL2007625,conplex,nesso,214.8,0.3,0.3
CHEMBL2007625,conplex,probematch,242.4,0.4,0.3
CHEMBL2007625,conplex,dtbind,217.8,0.4,0.2
CHEMBL2007625,nesso,biomaster,259.6,0.3,0.2
CHEMBL2007625,nesso,drugclip,289.5,0.4,0.4
CHEMBL2007625,nesso,dtiam,306.6,0.2,0.4
CHEMBL2007625,nesso,conplex,378.4,0.1,0.5482233502538071
CHEMBL2007625,nesso,probematch,364.1,0.3,0.6
CHEMBL2007625,nesso,dtbind,388.0,0.0,0.5
CHEMBL2007625,probematch,biomaster,318.5,0.1,0.5
CHEMBL2007625,probematch,drugclip,313.3,0.2,0.4
CHEMBL2007625,probematch,dtiam,459.3,0.1,0.6
CHEMBL2007625,probematch,conplex,318.65,0.3,0.45685279187817257
CHEMBL2007625,probematch,nesso,258.5,0.3,0.3
CHEMBL2007625,probematch,dtbind,210.2,0.3,0.2
CHEMBL2007625,dtbind,biomaster,240.9,0.1,0.1
CHEMBL2007625,dtbind,drugclip,296.1,0.0,0.2
CHEMBL2007625,dtbind,dtiam,450.7,0.0,0.7
CHEMBL2007625,dtbind,conplex,282.5,0.2,0.36548223350253806
CHEMBL2007625,dtbind,nesso,439.8,0.0,0.7
CHEMBL2007625,dtbind,probematch,306.7,0.3,0.4
CHEMBL2008,biomaster,drugclip,226.4,0.6,0.4
CHEMBL2008,biomaster,dtiam,287.0,0.3,0.3
CHEMBL2008,biomaster,conplex,279.6,0.4,0.4
CHEMBL2008,biomaster,nesso,220.8,0.4,0.2
CHEMBL2008,biomaster,probematch,153.0,0.6,0.2
CHEMBL2008,biomaster,dtbind,232.1,0.2,0.2
CHEMBL2008,drugclip,biomaster,119.1,0.7,0.1
CHEMBL2008,drugclip,dtiam,198.9,0.1,0.2
CHEMBL2008,drugclip,conplex,93.95,0.8,0.1
CHEMBL2008,drugclip,nesso,78.8,0.8,0.0
CHEMBL2008,drugclip,probematch,224.4,0.3,0.3
CHEMBL2008,drugclip,dtbind,107.2,0.6,0.0
CHEMBL2008,dtiam,biomaster,357.9,0.1,0.5
CHEMBL2008,dtiam,drugclip,255.6,0.3,0.4
CHEMBL2008,dtiam,conplex,354.9,0.2,0.5
CHEMBL2008,dtiam,nesso,386.9,0.1,0.7
CHEMBL2008,dtiam,probematch,288.1,0.1,0.3
CHEMBL2008,dtiam,dtbind,473.7,0.0,0.6
CHEMBL2008,conplex,biomaster,228.3,0.5,0.3
CHEMBL2008,conplex,drugclip,64.4,0.8,0.0
CHEMBL2008,conplex,dtiam,279.3,0.2,0.5
CHEMBL2008,conplex,nesso,60.7,0.8,0.0
CHEMBL2008,conplex,probematch,283.1,0.2,0.3
CHEMBL2008,conplex,dtbind,58.6,0.9,0.0
CHEMBL2008,nesso,biomaster,212.6,0.3,0.2
CHEMBL2008,nesso,drugclip,177.4,0.6,0.2
CHEMBL2008,nesso,dtiam,172.3,0.4,0.2
CHEMBL2008,nesso,conplex,206.5,0.5,0.3
CHEMBL2008,nesso,probematch,187.3,0.6,0.3
CHEMBL2008,nesso,dtbind,146.2,0.4,0.1
CHEMBL2008,probematch,biomaster,427.6,0.1,0.6
CHEMBL2008,probematch,drugclip,413.0,0.1,0.6
CHEMBL2008,probematch,dtiam,293.75,0.1,0.3
CHEMBL2008,probematch,conplex,364.9,0.3,0.6
CHEMBL2008,probematch,nesso,184.1,0.3,0.1
CHEMBL2008,probematch,dtbind,341.35,0.2,0.4
CHEMBL2008,dtbind,biomaster,272.75,0.3,0.4
CHEMBL2008,dtbind,drugclip,150.25,0.5,0.2
CHEMBL2008,dtbind,dtiam,378.55,0.3,0.6
CHEMBL2008,dtbind,conplex,265.75,0.4,0.3
CHEMBL2008,dtbind,nesso,205.55,0.3,0.3
CHEMBL2008,dtbind,probematch,332.55,0.4,0.5
CHEMBL202,biomaster,drugclip,479.7,0.1,0.8
CHEMBL202,biomaster,dtiam,424.8,0.1,0.6
CHEMBL202,biomaster,conplex,246.2,0.4,0.3
CHEMBL202,biomaster,nesso,427.1,0.1,0.6
CHEMBL202,biomaster,probematch,370.1,0.1,0.5
CHEMBL202,biomaster,dtbind,455.1,0.1,0.6
CHEMBL202,drugclip,biomaster,469.6,0.0,0.7
CHEMBL202,drugclip,dtiam,142.1,0.6,0.1
CHEMBL202,drugclip,conplex,444.6,0.2,0.7
CHEMBL202,drugclip,nesso,514.4,0.0,0.7
CHEMBL202,drugclip,probematch,301.7,0.2,0.5
CHEMBL202,drugclip,dtbind,185.1,0.2,0.1
CHEMBL202,dtiam,biomaster,292.6,0.2,0.3
CHEMBL202,dtiam,drugclip,70.3,0.7,0.0
CHEMBL202,dtiam,conplex,409.2,0.2,0.6
CHEMBL202,dtiam,nesso,536.3,0.0,0.7
CHEMBL202,dtiam,probematch,159.1,0.6,0.1
CHEMBL202,dtiam,dtbind,234.5,0.3,0.3
CHEMBL202,conplex,biomaster,293.4,0.3,0.4
CHEMBL202,conplex,drugclip,390.7,0.0,0.6
CHEMBL202,conplex,dtiam,371.0,0.0,0.6
CHEMBL202,conplex,nesso,224.7,0.4,0.2
CHEMBL202,conplex,probematch,431.7,0.1,0.6
CHEMBL202,conplex,dtbind,554.5,0.0,1.0
CHEMBL202,nesso,biomaster,254.1,0.0,0.2
CHEMBL202,nesso,drugclip,240.1,0.1,0.2
CHEMBL202,nesso,dtiam,326.7,0.2,0.3
CHEMBL202,nesso,conplex,382.1,0.1,0.7
CHEMBL202,nesso,probematch,283.8,0.4,0.5
CHEMBL202,nesso,dtbind,302.2,0.2,0.5
CHEMBL202,probematch,biomaster,299.2,0.1,0.3
CHEMBL202,probematch,drugclip,301.4,0.1,0.4
CHEMBL202,probematch,dtiam,400.8,0.2,0.6
CHEMBL202,probematch,conplex,269.7,0.3,0.3
CHEMBL202,probematch,nesso,192.7,0.4,0.2
