scope,query,entity,model,n,ordered_comparisons,correct_fraction,tie_fraction,auc,ap
COMMON_378,drug_id,DBABZHXKTCFAPX-UHFFFAOYSA-N,nesso_pic50,4,3,1.0,0.0,1.0,1.0
COMMON_378,drug_id,HHZIURLSWUIHRB-UHFFFAOYSA-N,biomaster,26,88,0.9431818181818182,0.0,0.9431818181818182,0.7333333333333333
COMMON_378,drug_id,HHZIURLSWUIHRB-UHFFFAOYSA-N,drugclip,26,88,0.5795454545454546,0.0,0.5795454545454546,0.23080357142857144
COMMON_378,drug_id,HHZIURLSWUIHRB-UHFFFAOYSA-N,dtiam,26,88,1.0,0.0,1.0,1.0
COMMON_378,drug_id,HHZIURLSWUIHRB-UHFFFAOYSA-N,conplex,26,88,0.7045454545454546,0.14772727272727273,0.7784090909090909,0.5634615384615385
COMMON_378,drug_id,HHZIURLSWUIHRB-UHFFFAOYSA-N,nesso,26,88,0.9431818181818182,0.0,0.9431818181818182,0.6458333333333333
COMMON_378,drug_id,HHZIURLSWUIHRB-UHFFFAOYSA-N,probematch,26,88,0.6136363636363636,0.0,0.6136363636363636,0.28020833333333334
COMMON_378,drug_id,HHZIURLSWUIHRB-UHFFFAOYSA-N,dtbind,26,88,0.6136363636363636,0.0,0.6136363636363636,0.26617324561403505
COMMON_378,drug_id,HHZIURLSWUIHRB-UHFFFAOYSA-N,nesso_pic50,26,88,0.7954545454545454,0.0,0.7954545454545454,0.5354166666666667
COMMON_378,drug_id,JOOXLOJCABQBSG-UHFFFAOYSA-N,biomaster,23,112,0.9107142857142857,0.0,0.9107142857142857,0.9640012254901962
COMMON_378,drug_id,JOOXLOJCABQBSG-UHFFFAOYSA-N,drugclip,23,112,0.4017857142857143,0.0,0.4017857142857143,0.6809597039956947
COMMON_378,drug_id,JOOXLOJCABQBSG-UHFFFAOYSA-N,dtiam,23,112,0.9910714285714286,0.0,0.9910714285714286,0.9963235294117647
COMMON_378,drug_id,JOOXLOJCABQBSG-UHFFFAOYSA-N,conplex,23,112,0.1875,0.6964285714285714,0.5357142857142857,0.7527173913043478
COMMON_378,drug_id,JOOXLOJCABQBSG-UHFFFAOYSA-N,nesso,23,112,0.9553571428571429,0.0,0.9553571428571429,0.9815359477124184
COMMON_378,drug_id,JOOXLOJCABQBSG-UHFFFAOYSA-N,probematch,23,112,0.5803571428571429,0.0,0.5803571428571429,0.7972477007627474
COMMON_378,drug_id,JOOXLOJCABQBSG-UHFFFAOYSA-N,dtbind,23,112,0.8660714285714286,0.0,0.8660714285714286,0.9343461583351289
COMMON_378,drug_id,JOOXLOJCABQBSG-UHFFFAOYSA-N,nesso_pic50,23,112,1.0,0.0,1.0,1.0
COMMON_378,drug_id,KTUFNOKKBVMGRW-UHFFFAOYSA-N,biomaster,22,40,1.0,0.0,1.0,1.0
COMMON_378,drug_id,KTUFNOKKBVMGRW-UHFFFAOYSA-N,drugclip,22,40,0.55,0.0,0.55,0.55
COMMON_378,drug_id,KTUFNOKKBVMGRW-UHFFFAOYSA-N,dtiam,22,40,0.8,0.0,0.8,0.3611111111111111
COMMON_378,drug_id,KTUFNOKKBVMGRW-UHFFFAOYSA-N,conplex,22,40,0.5,0.275,0.6375,0.5454545454545454
COMMON_378,drug_id,KTUFNOKKBVMGRW-UHFFFAOYSA-N,nesso,22,40,0.5,0.0,0.5,0.5454545454545454
COMMON_378,drug_id,KTUFNOKKBVMGRW-UHFFFAOYSA-N,probematch,22,40,0.425,0.0,0.425,0.14761904761904762
COMMON_378,drug_id,KTUFNOKKBVMGRW-UHFFFAOYSA-N,dtbind,22,40,0.525,0.0,0.525,0.18055555555555555
COMMON_378,drug_id,KTUFNOKKBVMGRW-UHFFFAOYSA-N,nesso_pic50,22,40,0.5,0.0,0.5,0.5454545454545454
COMMON_378,drug_id,KYYIDSXMWOZKMP-UHFFFAOYSA-N,biomaster,2,1,1.0,0.0,1.0,1.0
COMMON_378,drug_id,KYYIDSXMWOZKMP-UHFFFAOYSA-N,drugclip,2,1,1.0,0.0,1.0,1.0
COMMON_378,drug_id,KYYIDSXMWOZKMP-UHFFFAOYSA-N,dtiam,2,1,1.0,0.0,1.0,1.0
COMMON_378,drug_id,KYYIDSXMWOZKMP-UHFFFAOYSA-N,conplex,2,1,1.0,0.0,1.0,1.0
COMMON_378,drug_id,KYYIDSXMWOZKMP-UHFFFAOYSA-N,nesso,2,1,1.0,0.0,1.0,1.0
COMMON_378,drug_id,KYYIDSXMWOZKMP-UHFFFAOYSA-N,probematch,2,1,1.0,0.0,1.0,1.0
COMMON_378,drug_id,KYYIDSXMWOZKMP-UHFFFAOYSA-N,dtbind,2,1,0.0,0.0,0.0,0.5
COMMON_378,drug_id,KYYIDSXMWOZKMP-UHFFFAOYSA-N,nesso_pic50,2,1,1.0,0.0,1.0,1.0
COMMON_378,drug_id,MLDQJTXFUGDVEO-UHFFFAOYSA-N,biomaster,29,28,1.0,0.0,1.0,1.0
COMMON_378,drug_id,MLDQJTXFUGDVEO-UHFFFAOYSA-N,drugclip,29,28,0.8928571428571429,0.0,0.8928571428571429,0.25
COMMON_378,drug_id,MLDQJTXFUGDVEO-UHFFFAOYSA-N,dtiam,29,28,1.0,0.0,1.0,1.0
COMMON_378,drug_id,MLDQJTXFUGDVEO-UHFFFAOYSA-N,conplex,29,28,0.9642857142857143,0.0,0.9642857142857143,0.5
COMMON_378,drug_id,MLDQJTXFUGDVEO-UHFFFAOYSA-N,nesso,29,28,1.0,0.0,1.0,1.0
COMMON_378,drug_id,MLDQJTXFUGDVEO-UHFFFAOYSA-N,probematch,29,28,0.8571428571428571,0.0,0.8571428571428571,0.2
COMMON_378,drug_id,MLDQJTXFUGDVEO-UHFFFAOYSA-N,dtbind,29,28,0.8571428571428571,0.0,0.8571428571428571,0.2
COMMON_378,drug_id,MLDQJTXFUGDVEO-UHFFFAOYSA-N,nesso_pic50,29,28,0.9642857142857143,0.0,0.9642857142857143,0.5
COMMON_378,drug_id,NHHQJBCNYHBUSI-UHFFFAOYSA-N,biomaster,25,126,0.9206349206349206,0.0,0.9206349206349206,0.9652812035745473
COMMON_378,drug_id,NHHQJBCNYHBUSI-UHFFFAOYSA-N,drugclip,25,126,0.46825396825396826,0.0,0.46825396825396826,0.7338776479320854
COMMON_378,drug_id,NHHQJBCNYHBUSI-UHFFFAOYSA-N,dtiam,25,126,1.0,0.0,1.0,1.0
COMMON_378,drug_id,NHHQJBCNYHBUSI-UHFFFAOYSA-N,conplex,25,126,0.3333333333333333,0.5714285714285714,0.6190476190476191,0.8133333333333334
COMMON_378,drug_id,NHHQJBCNYHBUSI-UHFFFAOYSA-N,nesso,25,126,0.9682539682539683,0.0,0.9682539682539683,0.9872494075602951
COMMON_378,drug_id,NHHQJBCNYHBUSI-UHFFFAOYSA-N,probematch,25,126,0.5317460317460317,0.0,0.5317460317460317,0.8114698802341822
COMMON_378,drug_id,NHHQJBCNYHBUSI-UHFFFAOYSA-N,dtbind,25,126,0.8412698412698413,0.0,0.8412698412698413,0.925892483180925
COMMON_378,drug_id,NHHQJBCNYHBUSI-UHFFFAOYSA-N,nesso_pic50,25,126,0.9761904761904762,0.0,0.9761904761904762,0.991358024691358
COMMON_378,drug_id,PHLBKPHSAVXXEF-UHFFFAOYSA-N,biomaster,2,1,1.0,0.0,1.0,1.0
COMMON_378,drug_id,PHLBKPHSAVXXEF-UHFFFAOYSA-N,drugclip,2,1,0.0,0.0,0.0,0.5
COMMON_378,drug_id,PHLBKPHSAVXXEF-UHFFFAOYSA-N,dtiam,2,1,1.0,0.0,1.0,1.0
COMMON_378,drug_id,PHLBKPHSAVXXEF-UHFFFAOYSA-N,conplex,2,1,1.0,0.0,1.0,1.0
COMMON_378,drug_id,PHLBKPHSAVXXEF-UHFFFAOYSA-N,nesso,2,1,1.0,0.0,1.0,1.0
COMMON_378,drug_id,PHLBKPHSAVXXEF-UHFFFAOYSA-N,probematch,2,1,1.0,0.0,1.0,1.0
COMMON_378,drug_id,PHLBKPHSAVXXEF-UHFFFAOYSA-N,dtbind,2,1,1.0,0.0,1.0,1.0
COMMON_378,drug_id,PHLBKPHSAVXXEF-UHFFFAOYSA-N,nesso_pic50,2,1,1.0,0.0,1.0,1.0
COMMON_378,drug_id,UBPYILGKFZZVDX-UHFFFAOYSA-N,biomaster,23,120,0.7,0.0,0.7,0.5497790404040404
COMMON_378,drug_id,UBPYILGKFZZVDX-UHFFFAOYSA-N,drugclip,23,120,0.44166666666666665,0.0,0.44166666666666665,0.3537218092365151
COMMON_378,drug_id,UBPYILGKFZZVDX-UHFFFAOYSA-N,dtiam,23,120,0.675,0.0,0.675,0.6079342532467532
COMMON_378,drug_id,UBPYILGKFZZVDX-UHFFFAOYSA-N,conplex,23,120,0.7,0.16666666666666666,0.7833333333333333,0.7484148550724637
COMMON_378,drug_id,UBPYILGKFZZVDX-UHFFFAOYSA-N,nesso,23,120,0.9666666666666667,0.0,0.9666666666666667,0.9472222222222222
COMMON_378,drug_id,UBPYILGKFZZVDX-UHFFFAOYSA-N,probematch,23,120,0.5583333333333333,0.0,0.5583333333333333,0.47697749554367197
COMMON_378,drug_id,UBPYILGKFZZVDX-UHFFFAOYSA-N,dtbind,23,120,0.6,0.0,0.6,0.5082886241174285
COMMON_378,drug_id,UBPYILGKFZZVDX-UHFFFAOYSA-N,nesso_pic50,23,120,0.925,0.0,0.925,0.9338235294117647
COMMON_378,drug_id,UHTHHESEBZOYNR-UHFFFAOYSA-N,biomaster,16,48,0.9791666666666666,0.0,0.9791666666666666,0.95
COMMON_378,drug_id,UHTHHESEBZOYNR-UHFFFAOYSA-N,drugclip,16,48,0.4166666666666667,0.0,0.4166666666666667,0.2576048951048951
COMMON_378,drug_id,UHTHHESEBZOYNR-UHFFFAOYSA-N,dtiam,16,48,1.0,0.0,1.0,1.0
COMMON_378,drug_id,UHTHHESEBZOYNR-UHFFFAOYSA-N,conplex,16,48,0.5,0.375,0.6875,0.625
COMMON_378,drug_id,UHTHHESEBZOYNR-UHFFFAOYSA-N,nesso,16,48,0.9375,0.0,0.9375,0.8928571428571428
COMMON_378,drug_id,UHTHHESEBZOYNR-UHFFFAOYSA-N,probematch,16,48,0.5625,0.0,0.5625,0.3547619047619047
COMMON_378,drug_id,UHTHHESEBZOYNR-UHFFFAOYSA-N,dtbind,16,48,0.9791666666666666,0.0,0.9791666666666666,0.95
COMMON_378,drug_id,UHTHHESEBZOYNR-UHFFFAOYSA-N,nesso_pic50,16,48,0.8958333333333334,0.0,0.8958333333333334,0.8611111111111112
COMMON_378,drug_id,VYFYYTLLBUKUHU-UHFFFAOYSA-N,biomaster,2,1,1.0,0.0,1.0,1.0
COMMON_378,drug_id,VYFYYTLLBUKUHU-UHFFFAOYSA-N,drugclip,2,1,0.0,0.0,0.0,0.5
COMMON_378,drug_id,VYFYYTLLBUKUHU-UHFFFAOYSA-N,dtiam,2,1,1.0,0.0,1.0,1.0
COMMON_378,drug_id,VYFYYTLLBUKUHU-UHFFFAOYSA-N,conplex,2,1,0.0,0.0,0.0,0.5
COMMON_378,drug_id,VYFYYTLLBUKUHU-UHFFFAOYSA-N,nesso,2,1,0.0,0.0,0.0,0.5
COMMON_378,drug_id,VYFYYTLLBUKUHU-UHFFFAOYSA-N,probematch,2,1,0.0,0.0,0.0,0.5
COMMON_378,drug_id,VYFYYTLLBUKUHU-UHFFFAOYSA-N,dtbind,2,1,1.0,0.0,1.0,1.0
COMMON_378,drug_id,VYFYYTLLBUKUHU-UHFFFAOYSA-N,nesso_pic50,2,1,1.0,0.0,1.0,1.0
COMMON_378,drug_id,XGALLCVXEZPNRQ-UHFFFAOYSA-N,biomaster,20,36,0.6111111111111112,0.0,0.6111111111111112,0.5625
COMMON_378,drug_id,XGALLCVXEZPNRQ-UHFFFAOYSA-N,drugclip,20,36,0.4722222222222222,0.0,0.4722222222222222,0.13247863247863248
COMMON_378,drug_id,XGALLCVXEZPNRQ-UHFFFAOYSA-N,dtiam,20,36,0.5833333333333334,0.0,0.5833333333333334,0.5588235294117647
COMMON_378,drug_id,XGALLCVXEZPNRQ-UHFFFAOYSA-N,conplex,20,36,0.5,0.19444444444444445,0.5972222222222222,0.55
COMMON_378,drug_id,XGALLCVXEZPNRQ-UHFFFAOYSA-N,nesso,20,36,0.9444444444444444,0.0,0.9444444444444444,0.75
COMMON_378,drug_id,XGALLCVXEZPNRQ-UHFFFAOYSA-N,probematch,20,36,0.5555555555555556,0.0,0.5555555555555556,0.15476190476190477
COMMON_378,drug_id,XGALLCVXEZPNRQ-UHFFFAOYSA-N,dtbind,20,36,0.5,0.0,0.5,0.55
COMMON_378,drug_id,XGALLCVXEZPNRQ-UHFFFAOYSA-N,nesso_pic50,20,36,0.7222222222222222,0.0,0.7222222222222222,0.5833333333333334
COMMON_378,drug_id,XUFQPHANEAPEMJ-UHFFFAOYSA-N,biomaster,2,1,1.0,0.0,1.0,1.0
COMMON_378,drug_id,XUFQPHANEAPEMJ-UHFFFAOYSA-N,drugclip,2,1,0.0,0.0,0.0,0.5
COMMON_378,drug_id,XUFQPHANEAPEMJ-UHFFFAOYSA-N,dtiam,2,1,1.0,0.0,1.0,1.0
COMMON_378,drug_id,XUFQPHANEAPEMJ-UHFFFAOYSA-N,conplex,2,1,0.0,0.0,0.0,0.5
COMMON_378,drug_id,XUFQPHANEAPEMJ-UHFFFAOYSA-N,nesso,2,1,1.0,0.0,1.0,1.0
COMMON_378,drug_id,XUFQPHANEAPEMJ-UHFFFAOYSA-N,probematch,2,1,0.0,0.0,0.0,0.5
COMMON_378,drug_id,XUFQPHANEAPEMJ-UHFFFAOYSA-N,dtbind,2,1,1.0,0.0,1.0,1.0
COMMON_378,drug_id,XUFQPHANEAPEMJ-UHFFFAOYSA-N,nesso_pic50,2,1,1.0,0.0,1.0,1.0
COMMON_378,drug_id,YWPHCCPCQOJSGZ-UHFFFAOYSA-N,biomaster,2,1,1.0,0.0,1.0,1.0
COMMON_378,drug_id,YWPHCCPCQOJSGZ-UHFFFAOYSA-N,drugclip,2,1,1.0,0.0,1.0,1.0
COMMON_378,drug_id,YWPHCCPCQOJSGZ-UHFFFAOYSA-N,dtiam,2,1,0.0,0.0,0.0,0.5
COMMON_378,drug_id,YWPHCCPCQOJSGZ-UHFFFAOYSA-N,conplex,2,1,0.0,0.0,0.0,0.5
COMMON_378,drug_id,YWPHCCPCQOJSGZ-UHFFFAOYSA-N,nesso,2,1,0.0,0.0,0.0,0.5
COMMON_378,drug_id,YWPHCCPCQOJSGZ-UHFFFAOYSA-N,probematch,2,1,1.0,0.0,1.0,1.0
COMMON_378,drug_id,YWPHCCPCQOJSGZ-UHFFFAOYSA-N,dtbind,2,1,0.0,0.0,0.0,0.5
COMMON_378,drug_id,YWPHCCPCQOJSGZ-UHFFFAOYSA-N,nesso_pic50,2,1,0.0,0.0,0.0,0.5
COMMON_378,drug_id,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,biomaster,25,114,0.8245614035087719,0.0,0.8245614035087719,0.5876623376623377
COMMON_378,drug_id,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,drugclip,25,114,0.5964912280701754,0.0,0.5964912280701754,0.32688940310423686
COMMON_378,drug_id,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,dtiam,25,114,0.40350877192982454,0.0,0.40350877192982454,0.22220842453040596
COMMON_378,drug_id,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,conplex,25,114,0.42105263157894735,0.3157894736842105,0.5789473684210527,0.4047222222222222
COMMON_378,drug_id,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,nesso,25,114,0.8859649122807017,0.0,0.8859649122807017,0.6716269841269841
COMMON_378,drug_id,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,probematch,25,114,0.6842105263157895,0.0,0.6842105263157895,0.38076923076923075
COMMON_378,drug_id,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,dtbind,25,114,0.6842105263157895,0.0,0.6842105263157895,0.39451192082771025
COMMON_378,drug_id,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,nesso_pic50,25,114,0.8333333333333334,0.0,0.8333333333333334,0.6203703703703703
COMMON_378,target_id,CHEMBL1824,biomaster,9,8,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL1824,drugclip,9,8,0.75,0.0,0.75,0.3333333333333333
COMMON_378,target_id,CHEMBL1824,dtiam,9,8,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL1824,conplex,9,8,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL1824,nesso,9,8,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL1824,probematch,9,8,0.625,0.0,0.625,0.25
COMMON_378,target_id,CHEMBL1824,dtbind,9,8,0.5,0.0,0.5,0.2
COMMON_378,target_id,CHEMBL1824,nesso_pic50,9,8,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL1844,biomaster,7,12,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL1844,drugclip,7,12,0.75,0.0,0.75,0.8041666666666667
COMMON_378,target_id,CHEMBL1844,dtiam,7,12,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL1844,conplex,7,12,0.6666666666666666,0.0,0.6666666666666666,0.7708333333333333
COMMON_378,target_id,CHEMBL1844,nesso,7,12,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL1844,probematch,7,12,0.5833333333333334,0.0,0.5833333333333334,0.6458333333333333
COMMON_378,target_id,CHEMBL1844,dtbind,7,12,0.08333333333333333,0.0,0.08333333333333333,0.4511904761904762
COMMON_378,target_id,CHEMBL1844,nesso_pic50,7,12,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL1862,biomaster,2,1,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL1862,drugclip,2,1,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL1862,dtiam,2,1,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL1862,conplex,2,1,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL1862,nesso,2,1,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL1862,probematch,2,1,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL1862,dtbind,2,1,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL1862,nesso_pic50,2,1,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL1868,biomaster,7,6,0.8333333333333334,0.0,0.8333333333333334,0.5
COMMON_378,target_id,CHEMBL1868,drugclip,7,6,0.5,0.0,0.5,0.25
COMMON_378,target_id,CHEMBL1868,dtiam,7,6,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL1868,conplex,7,6,0.8333333333333334,0.0,0.8333333333333334,0.5
COMMON_378,target_id,CHEMBL1868,nesso,7,6,0.8333333333333334,0.0,0.8333333333333334,0.5
COMMON_378,target_id,CHEMBL1868,probematch,7,6,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666
COMMON_378,target_id,CHEMBL1868,dtbind,7,6,0.0,0.0,0.0,0.14285714285714285
COMMON_378,target_id,CHEMBL1868,nesso_pic50,7,6,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL1936,biomaster,3,2,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL1936,drugclip,3,2,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL1936,dtiam,3,2,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL1936,conplex,3,2,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL1936,nesso,3,2,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL1936,probematch,3,2,0.0,0.0,0.0,0.5833333333333333
COMMON_378,target_id,CHEMBL1936,dtbind,3,2,0.0,0.0,0.0,0.5833333333333333
COMMON_378,target_id,CHEMBL1936,nesso_pic50,3,2,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL1974,biomaster,3,2,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL1974,drugclip,3,2,0.5,0.0,0.5,0.8333333333333333
COMMON_378,target_id,CHEMBL1974,dtiam,3,2,0.0,0.0,0.0,0.5833333333333333
COMMON_378,target_id,CHEMBL1974,conplex,3,2,0.5,0.0,0.5,0.8333333333333333
COMMON_378,target_id,CHEMBL1974,nesso,3,2,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL1974,probematch,3,2,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL1974,dtbind,3,2,0.0,0.0,0.0,0.5833333333333333
COMMON_378,target_id,CHEMBL1974,nesso_pic50,3,2,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL1991,biomaster,13,22,0.8636363636363636,0.0,0.8636363636363636,0.7
COMMON_378,target_id,CHEMBL1991,drugclip,13,22,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL1991,dtiam,13,22,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL1991,conplex,13,22,0.0,1.0,0.5,0.15384615384615385
COMMON_378,target_id,CHEMBL1991,nesso,13,22,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL1991,probematch,13,22,0.8181818181818182,0.0,0.8181818181818182,0.45
COMMON_378,target_id,CHEMBL1991,dtbind,13,22,0.36363636363636365,0.0,0.36363636363636365,0.1736111111111111
COMMON_378,target_id,CHEMBL1991,nesso_pic50,13,22,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL2007,biomaster,5,6,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL2007,drugclip,5,6,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333333
COMMON_378,target_id,CHEMBL2007,dtiam,5,6,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL2007,conplex,5,6,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL2007,nesso,5,6,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333333
COMMON_378,target_id,CHEMBL2007,probematch,5,6,0.16666666666666666,0.0,0.16666666666666666,0.3666666666666667
COMMON_378,target_id,CHEMBL2007,dtbind,5,6,0.6666666666666666,0.0,0.6666666666666666,0.75
COMMON_378,target_id,CHEMBL2007,nesso_pic50,5,6,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL203,biomaster,5,6,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL203,drugclip,5,6,0.6666666666666666,0.0,0.6666666666666666,0.8055555555555556
COMMON_378,target_id,CHEMBL203,dtiam,5,6,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL203,conplex,5,6,0.8333333333333334,0.0,0.8333333333333334,0.9166666666666665
COMMON_378,target_id,CHEMBL203,nesso,5,6,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL203,probematch,5,6,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL203,dtbind,5,6,0.5,0.0,0.5,0.6388888888888888
COMMON_378,target_id,CHEMBL203,nesso_pic50,5,6,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL205,biomaster,7,12,1.0,0.0,1.0,1.0
COMMON_378,target_id,CHEMBL205,drugclip,7,12,0.3333333333333333,0.0,0.3333333333333333,0.6428571428571428
COMMON_378,target_id,CHEMBL205,dtiam,7,12,0.9166666666666666,0.0,0.9166666666666666,0.95
COMMON_378,target_id,CHEMBL205,conplex,7,12,0.75,0.16666666666666666,0.8333333333333334,0.8928571428571428
