target_id,gene,comparator,total_pairs,zero_pairs,conplex_top10_cutoff,conplex_top10_zero_weight,full_spearman,nonzero_pairs,nonzero_spearman
CHEMBL2085,MIF,drugclip,719,36,0.29990923,0.0,0.08975279026431804,683,0.06225167721703138
CHEMBL2085,MIF,dtiam,719,36,0.29990923,0.0,-0.12039681455365775,683,-0.11864125771985484
CHEMBL2085,MIF,nesso,719,36,0.29990923,0.0,0.058704951663279666,683,0.04811010593532984
CHEMBL2085,MIF,probematch,719,36,0.29990923,0.0,0.0904015254825494,683,0.06203309737903185
CHEMBL2085,MIF,dtbind,719,36,0.29990923,0.0,-0.2225904498773365,683,-0.21469552426637012
CHEMBL2185,AURKB,biomaster,719,376,0.16167122,0.0,-0.08465993270721875,343,-0.010173010617288156
CHEMBL2185,AURKB,drugclip,719,376,0.16167122,0.0,0.03842209654227405,343,0.14892363305793535
CHEMBL2185,AURKB,dtiam,719,376,0.16167122,0.0,0.04896740617427351,343,0.02552033755515172
CHEMBL2185,AURKB,nesso,719,376,0.16167122,0.0,-0.054623229547633025,343,-0.03904132024472472
CHEMBL2185,AURKB,probematch,719,376,0.16167122,0.0,-0.23851808690055543,343,0.0860980551601808
CHEMBL2185,AURKB,dtbind,719,376,0.16167122,0.0,-0.08782334166072475,343,0.09877200185948154
CHEMBL2189121,KRAS,biomaster,719,467,0.4371694,0.0,-0.13332701549661882,252,-0.08410970018644168
CHEMBL2189121,KRAS,drugclip,719,467,0.4371694,0.0,-0.1974540721192464,252,-0.27191311690052805
CHEMBL2189121,KRAS,dtiam,719,467,0.4371694,0.0,0.17772674305031883,252,0.18591650475681282
CHEMBL2189121,KRAS,nesso,719,467,0.4371694,0.0,0.1165686125183083,252,0.2043058365490893
CHEMBL2189121,KRAS,probematch,719,467,0.4371694,0.0,-0.11767323197727084,252,-0.12719168662577945
CHEMBL2189121,KRAS,dtbind,719,467,0.4371694,0.0,0.26705672438081335,252,0.002341849690068645
CHEMBL2208,MAPKAPK2,biomaster,719,435,0.43846887,0.0,-0.11288568683018253,284,0.0722493417447609
CHEMBL2208,MAPKAPK2,drugclip,719,435,0.43846887,0.0,-0.05957207861958921,284,0.06258977993896608
CHEMBL2208,MAPKAPK2,dtiam,719,435,0.43846887,0.0,0.16124288340729107,284,0.19409293531702357
CHEMBL2208,MAPKAPK2,nesso,719,435,0.43846887,0.0,-0.03584399183505734,284,-0.062247162403863465
CHEMBL2208,MAPKAPK2,probematch,719,435,0.43846887,0.0,-0.19034806598537735,284,-0.11661543120042422
CHEMBL2208,MAPKAPK2,dtbind,719,435,0.43846887,0.0,-0.1513493436129215,284,-0.05104296040526371
CHEMBL2321614,KCNK9,biomaster,719,49,0.8085953,0.0,0.06731555670496266,670,0.05560778118408938
CHEMBL2321614,KCNK9,drugclip,719,49,0.8085953,0.0,-0.02459612281921555,670,-0.06096853955068746
CHEMBL2321614,KCNK9,dtiam,719,49,0.8085953,0.0,0.025870083401529843,670,0.04190632106692746
CHEMBL2321614,KCNK9,nesso,719,49,0.8085953,0.0,-0.009187649988327863,670,-0.048193540695029624
CHEMBL2321614,KCNK9,probematch,719,49,0.8085953,0.0,0.25187221510607655,670,0.21230339918570434
CHEMBL2321614,KCNK9,dtbind,719,49,0.8085953,0.0,0.44758613686028476,670,0.3979887185254376
CHEMBL2326,CA7,biomaster,719,143,0.22495121,0.0,0.08114641580444024,576,0.05420431991502841
CHEMBL2326,CA7,drugclip,719,143,0.22495121,0.0,0.046340871485927686,576,0.03416105200579187
CHEMBL2326,CA7,dtiam,719,143,0.22495121,0.0,0.05192176353374171,576,0.050322272348941405
