model,target_id,requested_drugs,reused_scored_drugs,missing_scores,next_action
ConPLex,CHEMBL2023,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2027,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL203,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2033,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2034,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2039,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL204,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2040,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL2041,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2044,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2045,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL2046267,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2047,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2048,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL205,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2050,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL2055,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2058,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL2059,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL206,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2061,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2062,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL2062356,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL2063,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2068,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2069156,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL2072,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2073,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2073677,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
